C,gamma,mean_acc,std_acc
0.1,scale,0.6139216930019837,0.006856545360842294
0.1,0.001,0.5864206266799262,0.00823031459630488
0.1,0.0001,0.42227963783720446,0.00296568043713033
1.0,scale,0.8139434523208304,0.007547327961702988
1.0,0.001,0.7569018885588117,0.008380298448693174
1.0,0.0001,0.5919004542907127,0.01093977040913442
10.0,scale,0.8954773515503659,0.004387574842391343
10.0,0.001,0.8695887835040121,0.0073709460406193
10.0,0.0001,0.7183372186511416,0.00922712120200391
